gene,go_annotation,class
DAOA,GO:0051354;GO:0043085,
SPINDOC,GO:1903507;GO:0045892;GO:2000113;GO:0006355,ger
CNTNAP2,GO:0048812;GO:0007420;GO:1901890;GO:0007417;GO:0098596;GO:0042297;GO:0099612;GO:0045161;GO:0031175;GO:0048666;GO:0120039;GO:0120036;GO:1903598;GO:1903596;GO:0034613,nsd
SAMD13,GO:1903507;GO:0045892;GO:2000113;GO:0006355,ger
ZNF804A,GO:0031346;GO:0010975;GO:0010604;GO:0120035;GO:0010976;GO:0010628;GO:0010468,ger
DISC1,GO:0050769;GO:0001764;GO:0009967;GO:0048699;GO:0010975;GO:0120035;GO:0120031;GO:0002052;GO:1902692;GO:0044782;GO:2000179;GO:1905515;GO:0030177;GO:0030111;GO:0060271;GO:0070925;GO:0032091;GO:0051100;GO:0043393,nc
NRXN3,GO:0007411;GO:0007409;GO:0007158,nsd
NPAS3,GO:1903508;GO:0045893;GO:0006355;GO:0006357,ger
LRP1B,GO:0071702;GO:0071705;GO:0006898;GO:0015031,ion
CCDC182,GO:0046545;GO:0008585;GO:0008406,
NRXN1,GO:0007268;GO:0098916;GO:0007411;GO:0007416;GO:0007409;GO:0050808;GO:0007399;GO:0051966;GO:0050806;GO:0034329;GO:2000463;GO:0007158;GO:0098815;GO:0051965;GO:0051963;GO:0006836;GO:0043113;GO:1901890;GO:0035418;GO:0097119;GO:0051962;GO:0098596;GO:0042297;GO:0051968;GO:0097106;GO:0071709;GO:0097104;GO:0009967;GO:0007269;GO:0099068;GO:0001941;GO:0072657;GO:0097107;GO:0099643;GO:0090129;GO:0090128;GO:0050885;GO:0051130;GO:0050905;GO:0051094,nc
GRIK1,GO:0007268;GO:0098916;GO:0007215;GO:0050804;GO:0035249;GO:0099177;GO:0007399;GO:0051966;GO:0007417,nc
NLGN1,GO:0007268;GO:0098916;GO:0050804;GO:0007416;GO:0050808;GO:0098742;GO:0099177;GO:0007399;GO:2001257;GO:0051966;GO:2000310;GO:0050806;GO:0034329;GO:2000463;GO:0099601;GO:0048812;GO:0007158;GO:0098815;GO:0051965;GO:0051963;GO:0043113;GO:0016339;GO:1901890;GO:0035418;GO:0097119;GO:0051962;GO:0140058;GO:0051968;GO:0097106;GO:0071709;GO:0097104;GO:0009967;GO:0099068;GO:0061001;GO:0099054;GO:2000300;GO:0001941;GO:0072657;GO:0007157;GO:0060999;GO:1904861;GO:0097105;GO:0099504;GO:0097090;GO:0031175;GO:0032228;GO:0048666;GO:1903307;GO:0045664;GO:0060998;GO:1902414;GO:0120036;GO:0071248;GO:2000311;GO:0010977;GO:0051592;GO:0071277;GO:0072578;GO:0001956;GO:0061000;GO:0032230;GO:0030865;GO:0120034;GO:0048520;GO:0042753;GO:0099172;GO:0097479;GO:1900029;GO:0051094;GO:0006605;GO:1900027;GO:0051491;GO:0140238;GO:0022607;GO:0036465;GO:1902533;GO:0048488;GO:0051489;GO:0045807;GO:0006886;GO:0045595;GO:1902531;GO:0051240,nc
RBFOX1,GO:0007399;GO:0000381;GO:0048024;GO:0050657;GO:0050658,ger
SNORC,GO:0051216;GO:0061448;GO:0001501,
CARMIL1,GO:0031346;GO:0030334;GO:1902745;GO:0030836;GO:2000147;GO:0010770;GO:0120036;GO:0030335;GO:0030032;GO:0120031;GO:0097581;GO:2000812;GO:0044351;GO:0006907;GO:0051639;GO:0046415;GO:1902905;GO:1902743;GO:0031529;GO:0032273;GO:0010811;GO:0051495;GO:1900026;GO:0051496;GO:0030838;GO:0032233;GO:1900024;GO:0007015;GO:0030833;GO:0051492;GO:0051129;GO:0097435,cyt
CNNM2,GO:0010960;GO:0072507;GO:0055065,
MACROD2,GO:0072521;GO:0051725;GO:0009116;GO:0006464;GO:0006974,gly
CDH8,GO:0007268;GO:0035249;GO:0098742;GO:0034329;GO:0016339;GO:0045216;GO:0034332;GO:0007043,nc
CACNB2,GO:0007268;GO:0098916;GO:0050808;GO:2001257;GO:0086091;GO:0086012;GO:1901841;GO:1902514;GO:0086045;GO:0086016;GO:1901385;GO:0006816;GO:0007528;GO:0070509;GO:1901019;GO:0043270;GO:0072657;GO:1901387;GO:1904427;GO:0051924;GO:0086014;GO:0051928;GO:0072659;GO:1990778,nc
GABRG3,GO:0007268;GO:0098916;GO:0060078;GO:0051932;GO:1902476;GO:0098661;GO:0006821,nc
LEMD2,GO:0071168;GO:0035914;GO:0006998;GO:0061024;GO:0010256;GO:0034502;GO:0007519;GO:0090101;GO:0006997;GO:0101024;GO:0007084;GO:0030514;GO:0031468;GO:0030510;GO:0090288,nc
CADM2,GO:0045216;GO:0034332,
CACNA1C,GO:0086091;GO:0086004;GO:0086003;GO:0098901;GO:0086012;GO:0086002;GO:0060402;GO:0010880;GO:0098911;GO:0086045;GO:0086001;GO:0086016;GO:0070588;GO:0006816;GO:0086010;GO:0070509;GO:0010881;GO:0010882;GO:0045761;GO:0045762;GO:0007204;GO:0060401;GO:0098662;GO:0030001;GO:0086014;GO:0031281;GO:0051349;GO:0090276;GO:0086064;GO:0019722;GO:0050708;GO:0072359;GO:0035115;GO:0035136;GO:0050796;GO:0007507;GO:0043010;GO:0051480;GO:0030326;GO:0001654,nc
POM121L2,GO:0072594;GO:0050658;GO:0051168;GO:0034504;GO:0006886;GO:0006606;GO:0051170;GO:0017038;GO:0006405,ion
PCLO,GO:0035418;GO:0007269;GO:0099054;GO:0016079;GO:1990709;GO:0099643;GO:0099504;GO:1902414;GO:0045055;GO:0007010;GO:0022607;GO:0006996,nc
GRIN2A,GO:0007268;GO:0098916;GO:0007215;GO:2001257;GO:0060078;GO:2000310;GO:0050806;GO:0099601;GO:0060079;GO:0060402;GO:0007420;GO:0099565;GO:0097553;GO:0007417;GO:0070588;GO:0060291;GO:1904645;GO:0098976;GO:1904646;GO:0045471;GO:1901653;GO:0097305;GO:0097202;GO:2001056;GO:0031638,nc
GRID2,GO:0007268;GO:0007215;GO:0050804;GO:0007416;GO:0035249;GO:0098742;GO:0099177;GO:0060078;GO:0051965;GO:0051963;GO:0060079;GO:1901890;GO:0099565;GO:0051962;GO:0060134;GO:0007157;GO:1904861;GO:1901214;GO:0021707;GO:1900454;GO:0021953;GO:0032102;GO:1900452;GO:0021533;GO:0043523;GO:0034613;GO:0042981,nc
GRID1,GO:0007268;GO:0050804;GO:0035249;GO:0099177,nc
RELN,GO:0050804;GO:0007411;GO:0007409;GO:0099177;GO:0007399;GO:2001257;GO:0051966;GO:2000310;GO:0050806;GO:2000463;GO:0099601;GO:0031346;GO:0098815;GO:0001764;GO:0007420;GO:0007417;GO:0051968;GO:0009967;GO:0048699;GO:0061001;GO:0050775;GO:0010975;GO:0060999;GO:0090129;GO:0061003;GO:0090128;GO:1900273;GO:2001259;GO:0042063;GO:0032793;GO:0010976;GO:2000311;GO:0010001;GO:0038026;GO:2000969;GO:1900271;GO:0051057;GO:0021795;GO:0033674;GO:0061097;GO:0061098;GO:0021510;GO:0018212;GO:0051130;GO:0051094;GO:0018108;GO:0000904;GO:0050731;GO:0050730;GO:0045860;GO:2000273;GO:1902533;GO:0006468;GO:0045859;GO:0051056;GO:0001934;GO:0051091,ger
NT5C2,GO:0006163;GO:0009154;GO:0046128;GO:0009169;GO:0046085;GO:0046040;GO:0006195;GO:0072523;GO:0009166;GO:0009167;GO:0009150,gly
NOTCH4,GO:0009967;GO:0030879;GO:0022408;GO:0007221;GO:0051093;GO:0045747;GO:0048523;GO:0072359;GO:0060353;GO:0045601;GO:2000048;GO:0048754;GO:0040033;GO:0035278;GO:0030097;GO:0001569;GO:0030857;GO:0001944;GO:0007219;GO:2000047;GO:0048732;GO:0045596;GO:0035195;GO:0001837;GO:0048762;GO:0006367;GO:0045892;GO:0045595;GO:0008593;GO:0006352;GO:1903508;GO:0000122;GO:0045944;GO:0006366;GO:0045893;GO:0006355;GO:0006357,ger
CHRNA7,GO:0007268;GO:0098916;GO:0050804;GO:0050808;GO:0050806;GO:2000463;GO:0098815;GO:0140058;GO:0095500;GO:0006816;GO:0009967;GO:0034330;GO:0048813;GO:1905144;GO:0007614;GO:0031644;GO:0007271;GO:1904645;GO:0140059;GO:0010604;GO:0050890;GO:1905145;GO:1901214;GO:0030001;GO:0055074;GO:0006874;GO:1900273;GO:0006875;GO:0072503;GO:0070372;GO:0009966;GO:1902903;GO:1900271;GO:0099173;GO:1902991;GO:0042327;GO:0051347;GO:0045765;GO:1905906;GO:0001932;GO:0106027;GO:0031401;GO:1902430;GO:0043410;GO:1902004;GO:1902992;GO:0006811;GO:0070374;GO:0051173;GO:1902993;GO:0097061;GO:1902003;GO:1901652;GO:0010941;GO:1904018;GO:0032720;GO:1903556;GO:0051246;GO:0045766;GO:0007600;GO:0034250;GO:0034249;GO:0001934;GO:0042127;GO:0051247;GO:0048522;GO:0008284;GO:0032680,ger
CACNA2D1,GO:0086091;GO:0086003;GO:0086012;GO:0086002;GO:1901841;GO:0060402;GO:1902514;GO:0097553;GO:0086001;GO:0070588;GO:0006816;GO:0099623;GO:1904645;GO:1901387;GO:1903169;GO:0007204;GO:0060401;GO:0030001;GO:0051924;GO:1904646;GO:0060306;GO:0010959;GO:0060307;GO:1901653;GO:0086043;GO:0098703;GO:1902656;GO:0098659,nc
DLG2,GO:0007268;GO:0098916;GO:2001257;GO:2000310;GO:0099601;GO:0043113;GO:0035088;GO:0072657;GO:0035865;GO:0035864;GO:0045197;GO:0071248;GO:1905383;GO:0099641;GO:0099640;GO:0008090;GO:0000165;GO:0008089,nc
CLSTN2,GO:0050804;GO:0050806;GO:0051965;GO:0051963;GO:1901890;GO:0051962;GO:0010647;GO:0023056,nc
NCAN,GO:0007399;GO:0007417;GO:0006027;GO:0006024;GO:0030208;GO:0030207;GO:0030205;GO:0050651;GO:0030206;GO:0050650;GO:0030204;GO:0044273;GO:0001501;GO:0044272;GO:0043062;GO:0045229;GO:0030198,nsd
ZSCAN31,GO:0006355;GO:0006357,ger
CTNNA2,GO:0007409;GO:0048812;GO:0061564;GO:0048667;GO:0030334;GO:0007420;GO:0060134;GO:0048813;GO:0010975;GO:2001222;GO:0120035;GO:0048854;GO:0051149;GO:0051823;GO:0034316;GO:0032102;GO:0051126;GO:0034315;GO:0050807;GO:0051147;GO:0045597,cyt
NYAP2,GO:0048812;GO:0048015;GO:0031175;GO:0120039;GO:0014065,nc
DGKH,GO:0007205;GO:0046339;GO:0046834;GO:0016310;GO:0006650;GO:0006639;GO:0030258;GO:0006654;GO:0046473;GO:0046474,nc
CDH13,GO:0098742;GO:0007156;GO:0007162;GO:0030334;GO:0016339;GO:0045216;GO:0030155;GO:0034332;GO:0002040;GO:2000147;GO:0001938;GO:0050921;GO:0048523;GO:0001936;GO:0030335;GO:0030032;GO:0120031;GO:0097581;GO:0043616;GO:0050926;GO:0050679;GO:0043542;GO:0010631;GO:0051128;GO:0050850;GO:0071404;GO:1901184;GO:0050927;GO:0016601;GO:0001952;GO:0010811;GO:0050848;GO:0060627;GO:1902533;GO:0001954;GO:0048661;GO:0048660;GO:0007266;GO:0030100;GO:0007265;GO:0042058;GO:0008285;GO:0042127;GO:0008284;GO:0045944;GO:0045893;GO:0006357,ger
