node1,node2,importance
GRIN2A,GRIA4,0.00033913549850694835
GRIN2A,GRIK5,0.0007332141976803541
GRIN2A,CAMK2D,0.0002830653393175453
GRIN2A,HTR2C,0.00034391548251733184
GRIN2A,PLCB4,0.0002539600827731192
GRIN2A,HOMER3,0.0007465946837328374
RYR2,NRG1,0.004996239673346281
RYR2,PLCB1,0.004907712806016207
RYR2,CACNA1D,0.0051911319606006145
RYR2,CACNA1C,0.0035091778263449678
RYR2,GRM1,0.005441867746412754
RYR2,DRD1,0.00458909198641777
RYR2,GRIK3,0.006520804017782211
RYR2,GRM3,0.005938148591667414
RYR2,GRIA1,0.004191034939140081
RYR2,CACNA1G,0.007412997074425219
RYR2,GRM5,0.0049609653651714325
RYR2,GRIA4,0.005910989362746477
RYR2,CAMK2D,0.0066996649838984
RYR2,HTR2C,0.007035417482256889
RYR2,PLCE1,0.007260769605636597
RYR2,PLCD3,0.008154048584401608
RYR2,PLCB4,0.0047551067546010035
RYR2,HOMER3,0.01767059788107872
NRG1,CACNA1C,0.00234752637334168
NRG1,GRM1,0.0002950555644929408
NRG1,DRD1,0.0002606713678687811
NRG1,GRIK3,0.0002304571244167164
NRG1,GRIK1,0.005463432054966688
NRG1,GRM3,0.00017709298117551953
NRG1,GRIA1,0.0001777088618837297
NRG1,CHRNA7,0.0023821806535124783
NRG1,GRM5,0.00017724002827890215
NRG1,HTR2A,0.0003353131178300829
NRG1,GRIK4,0.0005423270631581545
NRG1,GRIA4,0.0003912215179298073
PLCB1,GRIK2,0.0051274788565933704
PLCB1,CACNA1D,0.0016725525492802262
PLCB1,CACNA1C,0.002305929083377123
PLCB1,GRM8,0.0030143959447741517
PLCB1,GRM1,0.0017533415229991078
PLCB1,DRD1,0.001478581572882831
PLCB1,GRIK3,0.002100969199091196
PLCB1,GRIK1,0.005366617813706398
PLCB1,GRM3,0.0019132407614961267
PLCB1,GRIA1,0.0013503298396244645
PLCB1,CHRNA7,0.002653482835739851
PLCB1,CACNA1G,0.002388429129496217
PLCB1,GRM5,0.0015983973862603307
PLCB1,HTR2A,0.0022149893920868635
PLCB1,GRIA4,0.001904490171000361
PLCB1,CAMK2D,0.002158593153581023
PLCB1,HTR2C,0.0022667706944048405
PLCB1,PLCE1,0.002339377999305725
PLCB1,PLCD3,0.002938527846708893
PLCB1,PLCB4,0.0015320709208026528
GRIK2,CACNA1D,0.005423589609563351
GRIK2,CACNA1C,0.003666318021714687
GRIK2,GRM8,0.00553313083946705
GRIK2,GRM1,0.005685564130544663
GRIK2,DRD1,0.004794599488377571
GRIK2,GRIK3,0.006812816951423883
GRIK2,GRIK1,0.008560960181057453
GRIK2,GRM3,0.00620406959205866
GRIK2,GRIA1,0.004378716927021742
GRIK2,CHRNA7,0.008604452945291996
GRIK2,CACNA1G,0.007744962815195322
GRIK2,GRM5,0.005183125846087933
GRIK2,HTR2A,0.00718255015090108
GRIK2,GRIK4,0.008908927440643309
GRIK2,GRIA4,0.006175681948661804
GRIK2,GRIK5,0.0067977472208440295
GRIK2,CAMK2D,0.006999674253165722
GRIK2,HTR2C,0.007350461557507516
CACNA1D,CACNA1C,0.002439093543216586
CACNA1D,GRM1,0.0004223377618473023
CACNA1D,DRD1,0.0003561546909622848
CACNA1D,GRIK3,0.0005060728872194886
CACNA1D,GRIK1,0.005676538217812777
CACNA1D,GRIA1,0.00032526132417842746
CACNA1D,CHRNA7,0.0024751042947173123
CACNA1D,CACNA1G,0.000575315032619983
CACNA1D,GRM5,0.00038501541712321336
CACNA1D,HTR2A,0.0005335375899448991
CACNA1D,GRIA4,0.0004587449366226792
CACNA1D,GRIK5,0.0008788183913566173
CACNA1D,CAMK2D,0.0005199530860409142
CACNA1D,HTR2C,0.0005460104439407587
CACNA1D,PLCE1,0.0005634992267005148
CACNA1D,PLCB4,0.00036903898580931127
CACNA1C,GRM1,0.002556903753429652
CACNA1C,DRD1,0.0021562203764915466
CACNA1C,GRIK3,0.0030638501048088074
